Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
1592 2 AVENUE,5,16,18,27.67,100,28,82,1920,E,1988,0
263 9 AVENUE,11,50,50,98.75,100,87,100,1914,,0,0
310 EAST 109 STREET,5,10,10,25,100.92,25,89,1910,,1997,0
720 PARK AVENUE,17,29,32,100.42,150,98,141,1928,,1985,2006
3 WEST 83 STREET,5,26,26,40,102.17,40,84,1900,E,1985,0
181 GRAND STREET,3,2,3,19.67,74.5,20,49,1910,E,0,0
36 WEST 36 STREET,7,0,8,20,98.75,20,91,1920,E,0,0
400 BROADWAY,4,0,2,30,99.92,30,98,1915,,1980,0
25 VERMILYEA AVENUE,5,30,30,50,150,50,130,1915,E,1988,0
38 WEST 75 STREET,4,10,10,20,102.17,20,90,1900,E,1985,0
244 WEST 74 STREET,9,37,39,65.5,102.17,66,82,1922,,1978,0
61 ELLWOOD STREET,5,72,72,150,100,150,85,1923,,1986,0
216 EAST 32 STREET,3,5,5,18.75,98.75,19,48,1900,E,1988,2008
581 AVENUE OF THE AMER,5,0,5,46,100,46,94,1900,,0,0
122 WEST 81 STREET,4,10,10,19,102.17,19,66,1900,E,0,0
35 WEST 71 STREET,5,7,7,18,102.17,18,60,1900,,1968,0
234 EAST 24 STREET,5,16,16,24.17,98.75,24,68,1910,E,1987,0
150 WEST 57 STREET,6,0,4,25,200.83,25,98,1890,E,1980,0
419 CONVENT AVENUE,3,3,3,20.25,75,20.25,52,1901,E,0,0
465 WEST 148 STREET,5,21,21,50,99.92,50,82,1920,E,1987,0
107 EAST 38 STREET,5,9,10,25,98.75,25,88,1920,,0,0
30 WEST 9 STREET,5,18,18,50.67,93.92,0,0,1900,,0,0
210 1 AVENUE,6,20,22,37,80,37,65,1912,,1987,0
361 WEST 120 STREET,3,1,1,17,100,17,50,1899,E,0,0
140 EAST 28 STREET,13,107,108,112.5,98.75,113,77,1931,,1989,0
532 WEST 150 STREET,3,1,1,15,99.92,15,53,1900,E,2006,0
559 WEST 191 STREET,6,30,30,50,100,50,86,1923,,0,0
66 MADISON AVENUE,13,134,138,74,145,74,146,1910,,1978,0
131 EAST 27 STREET,4,7,8,21.67,98.75,22,57,1930,E,0,0
313 WEST 137 STREET,3,1,1,15,99.92,15,50,1901,E,0,0
3512 BROADWAY,6,40,45,99.92,100,98,87,1920,E,1988,0
165 EAST 71 STREET,4,4,4,16.67,102.17,17,82,1910,,1949,0
357 WEST END AVENUE,4,5,5,24.5,40,25,40,1920,,1979,0
68 GREENWICH AVENUE,3,2,3,19.5,40.25,19.5,40,1910,E,0,0
768 AMSTERDAM AVENUE,5,8,9,25.5,92.42,26,68,1920,E,0,0
260 WEST STREET,9,24,26,75.75,103,76,101,1910,,1974,0
71 WEST WASHINGTON PLCE,6,10,10,22,97.17,22,97,1900,,2009,1950
1148 ST NICHOLAS AVENUE,2,0,1,104.75,103.5,0,92,1996,,1987,0
710 MADISON AVENUE,5,3,4,20,70,20,70,1910,E,2008,0
122 WEST 26 STREET,12,0,19,67.83,98.75,68,93,1913,,0,0
48 EAST 62 STREET,5,0,1,50,100.42,50,100,1959,,2012,0
375 3 AVENUE,3,3,4,20,70,20,40,1910,E,1987,0
152 WEST 123 STREET,3,6,6,20,100.92,16,52,1910,E,0,0
309 WEST 55 STREET,5,20,20,25,100.42,25,92,1920,,0,0
539 WEST 141 STREET,3,2,2,18.5,99.92,18.5,44,1899,E,0,0
23 HAMILTON TERRACE,4,2,2,17,75.67,17.83,75.67,1899,E,0,0
358 WEST 20 STREET,4,2,2,16.67,92,16.67,60,1910,E,0,0
344 EAST 55 STREET,5,20,21,25.5,100.42,25.5,80,1940,E,1956,0
249 WEST 15 STREET,5,33,33,47.17,103.25,47,78,1950,E,1972,0
241 EAST 78 STREET,3,2,2,13.83,102.17,13.83,50,1899,E,0,0
21 FT CHARLES PLACE,2,1,1,25,80.17,20,45,1920,E,0,0
227 EAST 111 STREET,7,22,22,50,100.92,50,65,2003,,0,0
176 LAFAYETTE STREET,5,14,16,25.08,100.5,25,65,1900,E,2014,0
310 WEST 86 STREET,12,34,36,72,102.17,72,84,1915,,0,0
2221 BROADWAY,3,0,1,102.17,124.33,102,124,1910,E,0,0
249 EAST 2 STREET,5,20,20,25,56,25,54,1961,,1985,0
610 WEST 111 STREET,6,0,1,50,100.92,50,90,1920,,1998,0
116 WEST 76 STREET,4,8,8,20,102.17,20,66,1900,E,1969,2009
436 WEST 49 STREET,5,20,20,25,100.42,25,86,1901,E,1988,0
513 WEST 54 STREET,4,0,1,100,100.42,70,100,1960,E,1998,0
213 WEST 139 STREET,4,8,8,19.17,99.92,19,52,1920,,0,0
12 WEST 119 STREET,5,10,10,20,100.92,20,86,1920,E,1997,0
357 WEST 17 STREET,5,1,2,25,92,25,92,1920,E,2015,2015
1562 1 AVENUE,21,199,205,102.17,156.5,102,142,1964,,0,0
175 CLAREMONT AVENUE,6,36,36,75,91,75,75,1926,,1987,0
2162 2 AVENUE,4,6,7,25.92,75,26,54,1900,E,2001,2005
215A EAST 80 STREET,0,0,0,21.33,1.67,0,0,0,,0,0
32 WEST 39 STREET,14,0,13,50,98.75,50,99,1925,E,1989,0
311 WEST 106 STREET,15,52,52,92,100.92,92,80,1926,,1988,0
431 CONVENT AVENUE,3,8,8,16,85,16,54,1926,E,1957,0
138 WEST 34 STREET,5,0,3,25,98.75,25,99,1910,,1987,0
138 WEST 121 STREET,3,2,2,20,100.92,20,66,1910,E,0,0
533 EAST 6 STREET,5,6,6,25,90.83,25,56,1900,E,1980,2005
332 EAST 95 STREET,6,41,41,45,100.67,40,88,1915,E,0,0
13 WEST 17 STREET,4,2,4,27,92,27,72,1840,E,2003,0
40 EAST 71 STREET,5,1,1,25,100.42,25,70,1899,E,0,0
499 BROADWAY,4,5,6,19.75,200.25,20,200,1900,E,2008,0
642 AMSTERDAM AVENUE,5,9,10,25,100,25,82,1920,,1982,0
280 EAST 2 STREET,11,102,103,150,210,150,150,1997,,1986,0
436 EAST 76 STREET,5,19,20,25,102.17,25,79,1910,,0,0
143 WEST 129 STREET,3,2,2,16.67,99.92,16.67,50,1899,E,0,0
HARLEM RIVER DRIVE,0,0,0,100,66.17,0,0,0,,0,0
135 WEST 28 STREET,5,18,20,26.67,98.75,27,49,1916,,1966,0
5227 BROADWAY,2,0,3,25,100,25,88,1900,E,0,0
43 WEST 61 STREET,27,94,95,140,100.42,140,52,1930,,0,0
10 SNIFFEN COURT,2,1,1,19.75,41,19.75,39,1901,E,0,0
1987 AMSTERDAM AVENUE,6,22,24,40,106,40,91,1910,E,1985,0
8 LIBERTY PLACE,5,4,5,28.17,35.75,28.17,35.75,1900,,2004,0
411 EAST 81 STREET,5,20,20,25,102.17,25,58,1960,E,1970,0
161 EAST 82 STREET,3,1,1,19.17,82,19.17,45,1899,E,0,0
22 WEST 12 STREET,4,5,5,25.5,103.25,26,84,1900,E,1985,0
312 WEST 48 STREET,6,35,35,50,100.42,50,86,1920,,1986,0
20 WEST 37 STREET,12,0,12,63.92,98.75,63.91,96,1912,,0,0
342 PLEASANT AVENUE,0,0,0,151,76,0,0,0,,0,0
309 WEST 112 STREET,3,2,2,16.67,100.92,17,51,1900,,2007,2007
204 WEST 84 STREET,3,0,1,25,102.17,25,100,1910,E,1988,0
721 5 AVENUE,58,235,236,115.42,125,0,0,1983,,2003,0
665 LEXINGTON AVENUE,5,6,8,20,80,20,76,1920,,0,0
2110 AMSTERDAM AVENUE,5,12,13,30,100,30,85,1910,E,1987,0
255 WEST 95 STREET,6,30,30,50,100.67,50,79,1908,,1983,0
2051 2 AVENUE,5,9,10,25,93.5,25,82,1900,E,1996,0
69 LUDLOW STREET,5,8,9,25.58,87.5,26,84,1900,E,0,0
144 EAST 48 STREET,17,0,211,100.5,100.42,100.5,100,1931,,2011,0
617 WEST 135 STREET,5,21,21,40,99.92,40,84,1905,,1986,0
925 PARK AVENUE,14,31,32,100,100,97,99,1908,,0,0
2660 BROADWAY,10,81,89,126.83,100,127,88,1907,,1984,0
1486 2 AVENUE,4,3,4,21,75,21,48,1910,E,1969,2004
9 EAST 72 STREET,4,0,1,59.33,102.17,59.33,53,1894,,0,0
19 DONGAN PLACE,6,42,42,103.42,127.5,102,108,1930,,0,0
65 EAST 80 STREET,5,7,7,18.67,102.17,19,83,1925,E,0,0
555 WEST 152 STREET,3,8,8,15.5,99.92,15.5,61,1900,,0,0
306 EAST 84 STREET,2,1,1,16.67,102.17,16.67,40,1901,E,0,0
742 EAST 9 STREET,1.5,0,1,25,93.92,25,76,1989,,0,0
25 WEST 75 STREET,4,10,10,21,102.17,21,73,1963,,1965,0
257 WEST 29 STREET,14,14,14,25,98.75,25,75,2015,,0,0
143 WEST 85 STREET,4,5,5,18,97.5,18,62,1900,E,1971,0
251 WEST 74 STREET,7,27,27,40,102.17,40,74,1948,,1988,0
510 EAST 12 STREET,5,20,22,25,103.25,25,90,1920,E,2009,0
